X,Y
1.00E+02,1.85E+02
1.26E+02,1.85E+02
1.58E+02,1.85E+02
2.00E+02,1.85E+02
2.51E+02,1.85E+02
3.16E+02,1.85E+02
3.98E+02,1.85E+02
5.01E+02,1.85E+02
630.9573445,184.7623762
794.3282347,184.7623762
1000,184.7623762
1258.925412,184.7623762
1584.893192,184.7623762
1995.262315,184.7623762
2511.886432,184.7623762
3162.27766,184.7623762
3981.071706,184.7623762
5011.872336,184.7623762
6309.573445,184.7623762
7943.282347,184.7623761
10000,184.762376
12589.25412,184.7623759
15848.93192,184.7623757
19952.62315,184.7623754
25118.86432,184.7623749
31622.7766,184.7623741
39810.71706,184.7623729
50118.72336,184.7623709
63095.73445,184.7623678
79432.82347,184.7623628
100000,184.762355
125892.5412,184.7623425
158489.3192,184.7623228
199526.2315,184.7622915
251188.6432,184.762242
316227.766,184.7621635
398107.1706,184.762039
501187.2336,184.7618418
630957.3445,184.7615292
794328.2347,184.761034
1000000,184.7602493
1258925.412,184.7590063
1584893.192,184.7570376
1995262.315,184.7539211
2511886.432,184.748991
3162277.66,184.7412001
3981071.706,184.7289094
5011872.336,184.7095714
6309573.445,184.679271
7943282.347,184.6320979
10000000,184.5593713
12589254.12,184.4488758
15848931.92,184.2845136
19952623.15,184.0470969
25118864.32,183.7170587
31622776.6,183.2790877
39810717.06,182.727002
50118723.36,182.066015
63095734.45,181.3108133
79432823.47,180.4807964
100000000,179.595326
125892541.2,178.6708263
158489319.2,177.719851
199526231.5,176.7513628
251188643.2,175.7714832
316227766,174.784275
398107170.6,173.792385
501187233.6,172.7975177
630957344.5,171.8007625
794328234.7,170.8028123
1000000000,169.8041066
1258925412,168.8049237
1584893192,167.8054394
1995262315,166.8057649
2511886432,165.8059702
3162277660,164.8060998
3981071706,163.8061816
5011872336,162.8062332
6309573445,161.8062657
7943282347,160.8062863
10000000000,159.8062992
12589254118,158.8063074
15848931925,157.8063126
19952623150,156.8063158
25118864315,155.8063179
31622776602,154.8063192
39810717055,153.80632
50118723363,152.8063205
63095734448,151.8063208
79432823472,150.806321
1.00E+11,149.8063212
1.26E+11,148.8063212
1.58E+11,147.8063213
2.00E+11,146.8063213
2.51E+11,145.8063213
3.16E+11,144.8063214
3.98E+11,143.8063214
5.01E+11,142.8063214
6.31E+11,141.8063214
7.94E+11,140.8063214
1.00E+12,139.8063214
